rank_bin,publication_year,total_pubs
1-50,2006,103329
1-50,2007,108126
1-50,2008,121173
1-50,2009,127641
1-50,2010,137983
1-50,2011,148627
1-50,2012,159152
1-50,2013,172160
1-50,2014,179058
1-50,2015,185979
1-50,2016,195156
1-50,2017,210128
1-50,2018,227326
1-50,2019,253797
1-50,2020,301559
1-50,2021,308999
1-50,2022,308395
1-50,2023,312769
1-50,2024,293184
1-50,2025,239088
51-100,2006,55534
51-100,2007,56545
51-100,2008,63948
51-100,2009,66248
51-100,2010,70419
51-100,2011,76741
51-100,2012,80159
51-100,2013,85217
51-100,2014,87945
51-100,2015,92091
51-100,2016,97161
51-100,2017,102949
51-100,2018,110155
51-100,2019,120131
51-100,2020,137684
51-100,2021,141117
51-100,2022,134380
51-100,2023,141806
51-100,2024,132927
51-100,2025,107769
101-150,2006,46956
101-150,2007,49392
101-150,2008,54400
101-150,2009,59698
101-150,2010,65028
101-150,2011,69850
101-150,2012,74438
101-150,2013,79505
101-150,2014,83469
101-150,2015,85927
101-150,2016,89782
101-150,2017,95136
101-150,2018,102480
101-150,2019,119038
101-150,2020,138864
101-150,2021,140342
101-150,2022,134117
101-150,2023,142158
101-150,2024,137184
101-150,2025,111158
151-200,2006,44938
151-200,2007,47153
151-200,2008,52093
151-200,2009,56821
151-200,2010,60175
151-200,2011,64840
151-200,2012,69305
151-200,2013,73112
151-200,2014,76907
151-200,2015,79727
151-200,2016,83192
151-200,2017,88232
151-200,2018,95998
151-200,2019,105805
151-200,2020,124706
151-200,2021,128878
151-200,2022,127034
151-200,2023,132915
151-200,2024,124233
151-200,2025,101504
201-250,2006,39905
201-250,2007,40775
201-250,2008,45805
201-250,2009,48294
201-250,2010,51878
201-250,2011,57139
201-250,2012,60448
201-250,2013,63941
201-250,2014,67338
201-250,2015,71298
201-250,2016,74398
201-250,2017,78677
201-250,2018,84391
201-250,2019,92597
201-250,2020,106631
201-250,2021,112928
201-250,2022,107402
201-250,2023,112247
201-250,2024,102946
201-250,2025,85507
251-300,2006,41285
251-300,2007,43472
251-300,2008,48923
251-300,2009,52797
251-300,2010,56793
251-300,2011,61045
251-300,2012,64433
251-300,2013,69763
251-300,2014,71608
251-300,2015,73472
251-300,2016,77214
251-300,2017,84847
251-300,2018,90498
251-300,2019,100080
251-300,2020,115917
251-300,2021,120682
251-300,2022,121428
251-300,2023,127078
251-300,2024,120195
251-300,2025,99520
301-350,2006,29978
301-350,2007,33217
301-350,2008,37163
301-350,2009,40761
301-350,2010,44005
301-350,2011,48133
301-350,2012,51605
301-350,2013,55468
301-350,2014,58031
301-350,2015,59357
301-350,2016,62411
301-350,2017,67700
301-350,2018,74922
301-350,2019,82787
301-350,2020,98842
301-350,2021,103255
301-350,2022,108352
301-350,2023,113488
301-350,2024,109128
301-350,2025,90354
351-400,2006,20245
351-400,2007,21518
351-400,2008,24339
351-400,2009,25655
351-400,2010,26943
351-400,2011,29731
351-400,2012,31128
351-400,2013,33306
351-400,2014,34510
351-400,2015,36236
351-400,2016,38090
351-400,2017,41469
351-400,2018,44267
351-400,2019,48792
351-400,2020,57652
351-400,2021,61355
351-400,2022,60971
351-400,2023,62655
351-400,2024,60658
351-400,2025,50375
401-450,2006,19058
401-450,2007,20437
401-450,2008,22481
401-450,2009,24905
401-450,2010,26985
401-450,2011,29601
401-450,2012,31331
401-450,2013,35584
401-450,2014,35814
401-450,2015,37680
401-450,2016,39160
401-450,2017,41978
401-450,2018,45541
401-450,2019,50617
401-450,2020,58583
401-450,2021,61996
401-450,2022,60384
401-450,2023,63322
401-450,2024,61060
401-450,2025,50049
