publication_year,se,mldm,nlp,cn,cc,sec
1990,9993,3936,3233,3474,2598,386
1991,10346,3313,4432,3722,2962,391
1992,11725,3857,5226,4062,3614,390
1993,12247,3277,5608,4323,4173,580
1994,12911,3299,6255,4774,4811,604
1995,14154,3151,6874,5346,5697,774
1996,15226,3758,7169,5817,6776,974
1997,16033,3933,7620,6375,7932,1127
1998,17330,4357,7998,7065,9014,1320
1999,19411,4293,8219,8386,10271,1695
2000,23363,5332,9408,10523,12321,2220
2001,25958,5124,9740,12940,13840,2623
2002,49472,7197,22986,26999,23031,4916
2003,45178,9177,16590,25313,20697,5605
2004,48280,8612,15710,27614,22270,7119
2005,56822,8535,19186,33926,24993,9036
2006,64589,10368,21398,40225,29142,10795
2007,69478,15566,20757,41987,30168,11541
2008,78113,14153,22473,46922,34780,12675
2009,86393,17538,25171,50753,40421,14359
2010,96779,16260,26024,53946,45909,15374
2011,107445,17617,26900,57095,54035,16599
2012,111232,18874,27434,58682,58065,17734
2013,118153,19710,28187,59491,62764,18834
2014,122643,21588,29482,59798,66079,19912
2015,123071,25350,31496,57780,69624,19771
2016,122544,27267,37099,56344,76342,20123
2017,154343,32050,48801,57606,84717,21572
2018,150038,49119,71161,60837,99215,24755
2019,154395,70479,95605,64070,110766,27597
2020,163435,95350,116686,69048,135825,31112
2021,165033,117845,139815,68793,152727,33196
2022,169413,135445,150525,68646,147700,35379
2023,173131,168387,174011,72259,157959,40291
2024,149459,173323,155274,55289,144991,35339
2025,142197,211917,154852,48769,153936,40057
